s2_full,s2_partial,l8_full,l8_partial
14;114,57.0,61;62,
14;57,,61;62,63.0
29;72,,73;74,75.0
29;72,,74;75,73.0
29;72,115.0,73;74;75,
29;72;115,,74;75,73.0
29;72;115,,74;75,76.0
86;129,,71;72,70.0
29;86;129,,71;72,73.0
29;129,86.0,71;72,
29;72;129,,72;73,71.0
29;129,72.0,72;73,71.0
43;86;143,,67;68;69,66.0
43;86;143,,66;67;68,69.0
43;86;143,,67;68;69,70.0
43;86;143,,67;68,66.0
43;86;129;143,,68;69;70,67.0
43;86;129,143.0,68;69;70,
43;86;143,,68;69;70,67.0
43;86;143,129.0,68;69;70,
43;86;143,,68;69,70.0
43;86;129,,68;69;70,71.0
29;72,129.0,73;74,72.0
1;58;101,,80;81;82,79.0
1;58;101,44.0,80;81;82;83,
1;44;58;101,,80;81;82,83.0
1;58;101,44.0,80;81;82,
1;58;101,44.0,80;81;82,83.0
1;44;58;101,,81;82;83,80.0
1;58;101,,80;81;82,83.0
1;44;101,58.0,81;82;83,
1;44;101,,81;82;83,84.0
1;44;101,,82;83;84,81.0
15;58;101,1.0,78;79;80;81,
15;58;101,,78;79;80,81.0
1;15;58;101,,79;80;81,78.0
1;15;58;101,,79;80;81,82.0
1;58;101,15.0,79;80;81;82,
15;72;115,,76;77;78,75.0
15;58;115,72.0,76;77;78,
15;58;115,101.0,77;78;79,
15;58;101,1.0,79;80;81,
1;58;101,,79;80;81,82.0
43;143,100.0,66;67;68,
43;143,86.0,66;67;68,
43;86;143,,67;68,69.0
43;100;143,,66;67,68.0
43;143,,67;68,66.0
72;115,,75;76,74.0
15;72;115,,75;76,77.0
43;86,143.0,68;69,70.0
72;115,15.0,74;75;76,
15;72;115,,75;76,74.0
86;129,29.0,69;70;71,
29;86;129,,70;71,69.0
86;129,29.0,70;71,69.0
15;72;115,,76;77,78.0
15;58;101,,79;80,78.0
15;58;101,,79;80,81.0
1;58;101,,81;82;83,80.0
1;58;101,44.0,81;82;83,
28;85;128,,55;56,
84,,38,37.0
112,12.0,28,27.0
1;58;101,15.0,79;80;81,
28;71,,57;58,56.0
29;72;129,115.0,72;73;74,
29;72;115,129.0,73;74;75,
29;72;115;129,,73;74;75,72.0
29;72;115,,73;74;75,76.0
29;72;86;129,,71;72;73,70.0
43;86;129,,69;70;71,68.0
29;43;86;129,,69;70;71,72.0
29;86;129,43.0,69;70;71;72,
29;86;129,,70;71;72,69.0
100;143,,66;67,
100;143,,66;67,65.0
100;143,43.0,66;67,
58;101,,80;81,79.0
