s2_id,s2_acq_id,l8_9_id,l8_9_acq_id
86_129_29p,2_5_3p,71_72_70p,15_6_8p
86_129_29p,2_5_3p,70_71_72p,15_8_6p
57_100,3_5,64_65_63p,14_5_7p
28_128,3_5,55_56_57,13_15_6
28_128,3_5,56,6
128,5,55_56,15_6
29_72_129,1_3_5,72_73_74_75p,13_4_6_11p
112_12p,4_2p,28_27p,2_11p
40_140,1_4,19_18p,3_12p
40_140p,4_1p,19,3
40,4,19_20p,3_10p
40,4,20_19p,10_3p
40_83p,4_2p,20,10
83,2,21_22p,1_8p
27_127p,3_5p,40,6
84_127,2_5,37_38,1_8
84_127,2_5,38_37p,8_1p
113,4,44_45p,2_9p
113,4,44_45,2_9
84,2,38,8
84_127p,2_5p,38,8
41_141p,4_1p,35,3
84,2,37_38p,1_8p
41_84,2_4,36_37p,10_1p
84,2,38_37p,8_1p
98,3,32_33p,14_5p
98_141p,3_1p,33,5
27_70,1_3,41_42p,13_4p
84_127p,2_5p,38_37p,8_1p
1_58_101,1_3_5,80_81_82_83p,12_14_5_3p
15_58_115,2_4_5,77_78,16_9
15_58_115,2_4_5,77_78_76p,16_9_2p
15_58_115,2_4_5,77_78_79,16_7_9
15_58,2_5,77_78_79,16_7_9
15_58,2_5,78_79,16_7
15_58_101,2_3_5,78_79_80,14_16_7
15_58,2_5,78_79_80,14_16_7
15_72_115,1_2_4,75_76,11_2
72_115_15p,1_4_2p,75_76,11_2
72_115,1_4,75_76_74p,11_2_4p
15_72_115,1_2_4,75_76_77p,11_2_9p
15_72_115,1_2_4,76_77,2_9
15_58_101,2_3_5,79_80_81,14_5_7
58_101,3_5,79_80_81,14_5_7
1_58_101,1_3_5,80_81_79p,14_5_7p
1_58_101,1_3_5,79_80_81,14_5_7
1_58_101,1_3_5,80_81,14_5
1_58_101,1_3_5,80_81_82,12_14_5
1_58_101,1_3_5,81_82,12_5
1_101,1_3,81_82,12_5
1_44_101,1_3_4,81_82_83,12_3_5
1_101,1_3,81_82_83,12_3_5
1_44_101,1_3_4,82_83,12_3
15_58_101,2_3_5,79_80,14_7
1_58_101,1_3_5,80_81_82p,14_5_12p
15_72_115,1_2_4,76_77_78,16_2_9
15_72_115,1_2_4,76_77_78p,2_9_16p
15_115,2_4,76_77_78,16_2_9
15_115_58p,2_4_5p,76_77_78,16_2_9
15_58_101,2_3_5,78_79,16_7
15_58_101,2_3_5,77_78_79_80,14_16_7_9
15_58_101_115,2_3_4_5,77_78_79_80,14_16_7_9
15_58_101_115,2_3_4_5,77_78_79,16_7_9
15_58_101,2_3_5,78_79_80_81,14_16_5_7
1_58_101,1_3_5,79_80_81_82,12_14_5_7
1_58_101,1_3_5,79_80_81_82p,14_5_7_12p
1_58_101,1_3_5,80_81_82_79p,12_14_5_7p
29_72,1_3,74_73p_75p,4_11p_13p
1_44_58_101,1_3_4_5,81_82_83,12_3_5
1_44_101,1_3_4,81_82_83_84,10_12_3_5
1_44_58_101,1_3_4_5,80_81_82_83,12_14_3_5
1_44_101_58p,1_3_4_5p,81_82_83,12_3_5
1_44_58_101,1_3_4_5,80_81_82,12_14_5
1_44_58_101,1_3_4_5,80_81_82_83p,12_14_5_3p
15_58_101,2_3_5,79_80_78p,14_7_16p
15_115,2_4,77_78,16_9
15_58_115,2_4_5,77_78_79p,16_9_7p
15_115,2_4,76_77,2_9
15_115,2_4,76_77_78p,2_9_16p
15_72_115,1_2_4,75_76_77_78p,11_2_9_16p
