gnis_id,gnis_name
00783482,Fix Creek
00839666,Coon Creek
00377382,Benton Creek
00383651,Indian Creek
00379774,Corral Creek
00382871,Hannahs Fork
00375511,Threemile Lateral
00378431,Buckskin Creek
00393058,West Fork Blue Creek
00376777,Autumn Creek
00375371,Swanson Lateral
00386971,Miller Creek
01432133,Salt Creek
00790988,South Fork Jack Creek
00372205,Cowboy Creek
00391676,Supper Creek
02707087,Krawl
00393258,Weston Creek
00381120,East Fork Jarbidge River
00373220,Indian Creek
00844911,Willow Creek
00393795,East Pine Creek
00384997,Little Wood Creek
00391867,Taylor Creek
02554217,H 30 Lateral
00391037,South Fork Storm Creek
00377555,Big Horse Canyon Creek
00786801,Malone Creek
00379393,Clear Creek
00389013,Race Creek
00374719,Rock Creek
00780795,Calvert Creek
00789265,Quartz Creek
01432783,Sparks Slough
00784820,Hidden Creek
01510300,Frog Creek
00793515,Woods Creek
00380669,Dodo Creek
01444580,Porcupine Creek
01117070,Aspen Creek
00393215,West Fork Trail Creek
01445851,South Fork Junction Creek
00389501,Rock Creek
00382476,Governor Creek
00379741,Corduroy Creek
00384953,Little Slate Creek
00787980,Nez Perce Fork
01525169,Rocky Fork
00389276,Reese Creek
00388371,Peterson Creek
00379786,Corral Creek
00384999,Little Woodtick Creek
00782303,Dense Creek
00392507,Twin Creek
00790708,Smiley Creek
01504564,Dry Fork Lick Creek
00391184,Spring Creek
00374151,Ninemile Creek
00387953,Olson Creek
00381828,Flat Creek
00380290,Day Creek
00786259,Little Burnt Fork
00371358,Bannock Canal
00387032,Mire Creek
00390790,Snyder Creek
00384791,Little Creek
00382273,Gillon Creek
01605564,Grizzly Creek
00372604,Eldridge Lateral
00788254,North Fork Sun Creek
00792058,Therriault Creek
02518696,J 36 Drain
00393139,West Fork Little Soldier Creek
00374492,Ponzo Lateral
00390815,Soldier Creek
00371453,Bennett Lateral
00386393,Main Fork
00861386,Silver Creek
00399629,West Canal
00393719,Wylie Creek
00380429,Deer Creek
00398465,Grouse Creek
00383509,Hudlow Creek
00782196,Deep Creek
00781940,Crozier Creek
02517329,H 23 Lateral
00386552,May Creek
00786734,Lynx Creek
